year,food_prod_index_2014_16_100,cv5,cv5_scaled_0_1,S_stability_from_cv,A_availability,X_access,U_utilization,S_stability,FSI_geomean
2010,92.23,0.037697292212463394,0.46523019928633635,0.5347698007136636,0.8305800911247406,0.643847564969282,0.784892109118559,0.5347698007136636,0.6883120186374566
2011,91.36,0.013992193784826527,0.0,1.0,0.8234505002228795,0.6635741197136702,0.6739574404686736,1.0,0.7790042954629632
2012,90.89,0.00953789664395918,0.0,1.0,0.8619768609969116,0.6880110010376114,0.7036081813981361,1.0,0.8037212809341049
2013,95.8,0.020901425894240568,0.12814140515666833,0.8718585948433317,0.8467988033471421,0.7107058168933014,0.6933837879741833,0.8718585948433317,0.7766448388464668
2014,98.13,0.033571772020481463,0.38243205119891266,0.6175679488010873,0.8287091270526683,0.7377429957563063,0.6647554863871158,0.6175679488010873,0.7078047518233942
2015,97.01,0.03503083439365377,0.4117150644483695,0.5882849355516304,0.8372889918802185,0.7623546452506195,0.7087203781101121,0.5882849355516304,0.718246916211935
2016,104.86,0.05168935860647329,0.7460474372171816,0.2539525627828184,0.8567182341671228,0.7781486847964157,0.7593311255586774,0.2539525627828184,0.5987852587632528
2017,101.95,0.03774865284575706,0.46626099422210665,0.5337390057778933,0.8667040897470586,0.8074666968399609,0.7920491845153259,0.5337390057778933,0.7375120825203595
2018,103.19,0.03310785005710843,0.37312125458736695,0.626878745412633,0.8965841609335854,0.8476098264189607,0.8661760368389827,0.626878745412633,0.8014827668042349
2019,99.64,0.03034675402298482,0.3177067546750208,0.6822932453249793,0.929198718071602,0.8801060115216369,0.9357019121218606,0.6822932453249793,0.8500374201441339
2020,103.12,0.018819139690979557,0.0863504470726218,0.9136495529273783,0.9597319660643548,0.8669496550454777,1.0,0.9136495529273784,0.9337505510005
2021,104.86,0.018819139690979557,0.0863504470726218,0.9136495529273783,0.99074125817012,0.969924065491064,0.8861136040156904,0.9136495529273784,0.939164695659022
2022,101.28,0.019567126363892476,0.10136235064580748,0.8986376493541925,1.0,1.0,0.9878463185840196,0.8986376493541925,0.9706630525358448
2023,104.64,0.021763104656121218,0.14543508023518179,0.8545649197648182,1.0,1.0,0.9909136366112048,0.8545649197648182,0.959279616801819
2024,,,,,,1.0,,,
